Nome,Data Fundaçãao,Média Funcionários,Endereço,Área Atuação,Telefone,Email
Vama Industrial,1988,90,"Av. Santos Dumont, 3.045 - Joinville - SC","Moldes de termoformagem, Moldes de injeção plástica",-,-
GTF Ferramentaria,2004,85,"Estrada da Ilha, 6.616 - Joinville - SC","Moldes de termoformagem, Moldes de injeção plástica",-,-
JN Ferramentaria,1987,120,"R. Jacutinga, 206 - Joinville - SC","Moldes de injeção de alumínio, Moldes de injeção plástica, Spare Parts para moldes de injeção de alumínio",-,-
Aethra Ferramentaria,1987,122,Av. Centauro 234 - Contagem - MG,"Ferramentais de estampo, Dispositivos de controle",-,-
Simoldes Aços Brasil,1989,150,"BR 376, km 628, 26.500 - São José do Pinhais - PR","Moldes de injeção plástica, Moldes de injeção de alumínio, Moldes de termoformagem",-,-
Tool Machine,1998,32,"R. Presidente de Gaule, 110 - Joinville - SC","Moldes de injeção plástica, Moldes de injeção de alumínio",-,-
Scopum Ferramentaria,1989,55,"R. Anderson Miquelute, 125 - Araquari - SC","Moldes de termoformagem, Dispositivos de Controle, Ferramentais para Fundição",-,-
Top Line Ferramentaria,2012,40,"Av. Santa Catarina, 4.749 - Galpão B - Joinville - SC","Moldes de injeção plástica, Moldes de injeção de alumínio",-,-
Kammoldes,2003,64,"R. Jacy Macedo Lobo, 70 - Joinville - SC",Moldes de injeção plástica,-,-
FHS Ferramentaria,2004,95,"R. Álvares Cabral, 79 - Diadema - SP","Ferramentais de Estampo, Dispositivos de Controle",-,-
Walbert Modelação e Ferramentaria,1999,210,"Rod. BR 280 Km 29, 3.057 - Araquari – SC","Moldes de injeção de alumínio, Modelos e caixas de macho para fundição de ferro",-,-
Toyo Matic Aerospace,1999,20,"Rodovia Municipal Vereador Álvaro Alessandri, 1.017 - Bragança Paulista - SP","Peças usinadas em geral, Dispositivos de Controle",-,-
Matrizes Valmasser,1987,100,"R. Conde D’Eu, 741 - Caxias do Sul - RS","Molde de injeção plástica, Ferramental de estampo",-,-
JR Oliveira Indústria Metalúrgica,1989,12,"Av. Angelina Marcon, 1.750 - Caxias do Sul - RS",Moldes de injeção plástica,-,-
IMM indústria de Moldes e Matrizes,1982,80,"Av. Santos Dumont, 4.861- Joinville - SC","Moldes de injeção plástica, Moldes de injeção de alumínio, Ferramentais de estampo",-,-
Estampo Tec,2006,85,"Av. Novo Brasil, 220 - Guarulhos - SP","Ferramental de estampo, Dispositivos de controle, Equipamentos de automação de prensas",-,-
Herten Engenharia de Moldes,1990,52,"R. Ten. Antônio João, 783 - Joinville - SC ","Moldes de injeção plástica, Moldes de injeção de alumínio",-,-
Parstech Ferramentaria de Precisão,1981,25,"Av. Radamés Lo Sardo, 241 - Bragança Paulista - SP","Moldes de injeção de zamak, Moldes de injeção plástica, Peças de reposição para moldes, Serviços de manutenção preventiva, corretiva e melhorias em moldes",-,-
MWCut Ferramentas de Precisão,2010,40,"Viela João Lopes Terron Filho, 71 - Bragança Paulista - SP","Ferramentais de estampo, Moldes de injeção plástica, Dispositivos de Controle, Spare Parts",-,-
Digimold Ferramentaria de Precisão,2014,42,"Av. Nossa Senhora da Penha, 530 - Bragança Paulista - SP",Moldes de injeção plástica,-,-
Union Moldes,1996,60,"R. Dona Francisca, 7.796 - Joinville - SCç","Moldes de injeção plástica, Moldes Bi injeção rotativo",-,-
New Tech Company,1999,62,"R. Angelo Bordin, 1.000 - Caxias do Sul - RS01","Moldes de injeção plástica, Moldes Bi injeção, Moldes Tri injeção",-,-
Fastparts Protótipos,2008,26,"R. Manoel da Luz Fontes, 33 - Joinville - SC","Moldes de injeção plástica, Molde Protótipo, Protótipos e Produção de Baixo Volume",-,-
Indústria de Matrizes Belga,1997,149,"Rod. BR-116, 14.494, Caxias do Sul - RS",Moldes de injeção plástica,-,-
Techcontrol Indústria de Dispositivos de Controle,1979,35,"R. Anita Garibaldi, 1.190, Bloco A, Sala 4 - Joinville - SC","Dispositivos de controle, Bancada de Montagem e Inspeção",-,-
Indústria Mecânica Amadi,2008,30,"R. Maria Aparecida, 467 - Várzea Paulista - SP","Molde de injeção de alumínio, Molde de injeção plástica, Ferramentais de estampo, Dispositivos de controle, Máquinas especiais",-,-
Aeromatrizes Indústria de Matrizes,1973,118,"Rod. BR 116, Km 148, 17.307 - Caxias do Sul - RS","Molde de injeção de alumínio, Molde de injeção plástica, Molde de termoformagem",-,-
Moldtool Ferramentaria,1987,96,"Av. Placido Hugo de Oliveira, 1.580, Joinville - SC","Molde de injeção de alumínio, Molde de injeção plástica",-,-
Gama Indústria de Matrizes,2000,48,"Estrada municipal Valentin Venturin , 3.453 - Caxias do Sul - RS",Molde de injeção de alumínio,-,-
3R Moldes,1995,40,"Rod. SC-301, 9.259 - Araquari - SC","Molde de injeção de alumínio, Molde de injeção plástica",-,-
Ribeiro Ferramentaria,2005,100,"Av. das Indústrias, 645 - Araquari - SC","Molde de injeção plástica, Molde de termoformagem",-,-
Multimatech,1997,36,"Travessão Felisberto, 5.000 - Flores da Cunha - RS","Molde de injeção plástica, Dispositivos de controle, Ferramental de estampo",-,-
Artis Matriz,2008,76,"R. Ema Taner de Andrade, 995 - Campo Largo - PR",Molde de injeção plástica,-,-
VOA Indústria,1991,100,"Av. Ápio Cardoso, 952 - Contagem - MG","Ferramental de estampo, Dispositivos de controle, Fabricação de protótipo, Pré-séries ou lotes pilotos de peças estampadas",-,-
Indústria Metalúrgica Usifer,2012,36,"R. São Paulo, 569 - Vinhedo - SP","Molde de injeção plástica, Dispositivos de controle, Molde de injeção de alumínio",-,-
Giacomini Indústria e Comércio,1980,21,"Av. Dez de Dezembro, 7066 - Londrina - PR","Molde de injeção plástica, Ferramental de estampo",-,-
Btomec Ferramentaria e Usinagem de Precisão,1977,60,"R. Sorocaba, 91 - Joinville - SC","Molde de injeção plástica, Molde de injeção plástica para linha de embalagem",-,-
Sulmax,1985,30,"R. Nestor Carlos Fedrizzi, 151 - Caxias do Sul - RS",Componentes de Moldes e Matrizes,-,-
Magna Indústria de Moldes e Matrizes,2003,52,"R. Sen. Petrônio Portela, 30 - Joinville - SC","Molde de termoformagem, Molde de injeção plástica, Molde de injeção de alumínio, Dispositivos de controle",-,-
Massochini Moldes e Matrizes,2009,40,"R. Olinda Pontalti Peteffi, 908 - Caxias do Sul - RS","Molde de injeção plástica, Molde de injeção de alumínio",-,-
Inova Matrizes,2004,47,"Av. Capivari, 407 - Caxias do Sul - RS","Molde de injeção plástica, Molde de injeção de alumínio, Dispositivos de controle",-,-
Mafra Ferramentaria,2001,45,"R. Ottokar Doerffel, 1.112 - Joinville - SC",Molde de injeção plástica,-,-
Global Moldes,2001,56,"Av. Roberto Pinto Sobrinho, 37 - Osasco - SP",Molde de sopro,-,-
Sulbras Moldes e Plásticos,1988,45,"R. Irmão Gildo Schiavo, 264/266 - Caxias do Sul - RS","Molde de injeção plástica, Dispositivos de controle",-,-
R.A-Metal Ferramentaria,1984,45,"Av. Dr. Lauro Correa da Silva, 3.075 - Limeira - SP",Ferramental de estampo,-,-
Parkfer Ferramentaria,2008,18,"R. Dorothovio do Nascimento, 2.260 - Joinville - SC","Molde de injeção plástica, Molde de injeção de alumínio, Ferramental de estampo",-,-
RK Ferramentaria,1998,61,"R. Valenza, 154, Colombo - PR","Molde de injeção plástica, Molde de termoformagem",-,-
Winter Industrial,2005,45,"Av. Santos Dumont, 4.321 - Joinville - SC","Molde de injeção plástica, Molde de injeção de alumínio",-,-
Conventos Ferramentaria,1998,36,"R. Dorothóvio do Nascimento, 310 - Joinville - SC","Ferramental de estampo, Dispositivos de controle",-,-
Italbras Moldes,2006,40,"R. Delmar Machado dos Santos, 187 - Caxias do Sul - RS","Molde de injeção plástica, Molde de injeção de alumínio, Dispositivos de controle",-,-
Elite Indústria de Matrizes,2003,39,"R. das Rosas, 2039 - Caxias do Sul - RS","Molde de injeção plástica, Molde de injeção de alumínio",-,-
High Tech Moldes de Precisão,1995,16,"R. Amabile C. Magdaleno, 613 - Caxias do Sul - RS",Molde de injeção plástica,-,-
FR Tools Ferramentaria de Precisão,2002,27,"Estr. M. Vicente Tavella, 136 - Bragança Paulista - SP","Molde de injeção plástica, Ferramental de estampo, Dispositivos de controle, Spare Parts",-,-
Stamp & Molde Ferramentaria de Precisão,2008,80,"R. Sebastião Martins, 686 - Nova Friburgo - RJ","Ferramental de estampo, Molde de injeção plástica, Molde de injeção de zamac",-,-
Coprima Moldes e Ferramentas de Corte,2014,14,"R. Idaly Schio, 25 - Caxias do Sul - RS","Estampagem, Moldes e matrizes industriais, Moldes para indústria automotiva, Moldes de injeção plástica",-,-
Injetaq Indústria e Comércio,1996,98,"R. Capistrano de Abreu, 306 - Diadema - SP","Ferramental de estampo, Dispositivos de controle",-,-
Empresas Icon,1991,525,"R. Imigrante Casagrande, 262 - Criciúma - SC",Ferramental de estampo,-,-
JWM Indústria e Comércio,1972,43,"R. Paulo Fabiano Sáles, 44 - Campinas - SP","Ferramental de estampo, Dispositivos de controle",-,-
IBT Indústria de Moldes,1982,20,"R. Colon, 750 - Joinville - SC","Ferramental de estampo, Molde de injeção plástica, Moldes de sopro e rotomoldagem",-,-
Jplast Indústria de Moldes,1988,12,"Av. Dr. Felipe Pinel, 3475 - São Paulo - SP",Molde de injeção plástica,-,-
Tramontini Ferramentaria,1993,85,"Rod. BR-158, s/n - Pato Branco - PR",Ferramentais de estampo,-,-
Moldar Desenvolvimento de Matrizes,2002,34,"R. Adálio G. da Silva, 191 - Caxias do Sul - RS",Molde de injeção plástica,-,-
Feic Ferramentaria,2006,40,Rod. Engenheiro Ermenio De Oliveira - Salto - SP,"Ferramental de estampo, Dispositivos de controle",-,-
MJC Ferramentaria e Usinagem,1994,48,"R. Paulo Fabiano Sales , 79 - Campinas - SP","Ferramental de estampo, Dispositivos de controle",-,-
JM Ferramentaria (Betim),2001,155,"Av. Fausto Ribeiro da Silva, 1307 - Betim - MG","Ferramental de estampo, Dispositivos de controle, Fabricação de Protótipos, Construção, Modificação / Revitalização de Estampos",-,-
FBM Fábrica Brasileira de Moldes,2013,100,"R. Clodoaldo Gomes, 375 - Joinville - SC","Molde de injeção plástica, Molde de injeção de alumínio, Rebarbadores, Dispositivos de controle, Usinagem técnica",-,-
Indab Indústria Metalúrgica,2012,276,"R. Go Sugaya, 950 - São Paulo - SP","Ferramental de estampo, Dispositivos de controle, Dispositivos de Solda em Geral",-,-
Moldit Brasil,1974,62,"R. dos Plásticos, s/n - Camaçari - BA","Molde de injeção plástica, Moldes SMC",-,-
Machinery Tooling Unit - Nidec GA,2005,210,R. Rui Barbosa 1.020 - Joinville - SC,"Ferramental de estampo, Dispositivos de controle, Automação",-,-
Moldestamp Solution,1971,169,"R. Sete, 701 - Betim - MG","Ferramental de estampo, Dispositivos de controle, Fabricação de Protótipos, Construção, Modificação / Revitalização de Estampos",-,-
Ferramentaria Gaspec,2015,150,"Av. Novo Horizonte, 255 - Santo André - SP","Ferramental de estampo, Dispositivos de controle",-,-
Prodemol,2000,65,"Estr. Particular Sadae Takagi, 2.760 - São Bernardo do Campo - SP","Molde de injeção plástica, Molde de termoformagem, Molde de injeção de alumínio",-,-
Schuma Moldes e Matrizes,1995,29,"Av. Santos Dumont, 3.607 - Joinville - SC","Molde de injeção plástica, Molde de injeção de alumínio",-,-
Gramaq ,2001,60,"Av. Edmundo Doubrawa, 1.800 - Joinville - SC",Molde de injeção plástica,-,-
Modelação Universal,1993,50,"Av. Osvaldo Valle Cordeiro, 1.152 - São Paulo - SP","Molde para fundição, Dispositivos de controle, Molde de injeção de alumínio, Protótipos funcionais, Fabricação de peças",-,-
Robert Bosch,1960,60,"Via Anhanguera, km 98 - Campinas - SP","Molde para fundição, Ferramental de estampo, Usinagens Especiais, Conformal Cooling, Dispositivos de controle, Dispositivos para Produção",-,-
Hame Tecnometal,1990,28,"R. Carlos Hard, 4.830 - Jaraguá do Sul - SC","Ferramental de estampo, Dispositivos de controle",-,-
Ancona Ferramentaria de Precisão,1994,32,R. Ptolomeu 270 - São Paulo - SP,"Ferramental de estampo, Dispositivos de controle, Molde de injeção de alumínio",-,-
Technocut,1998,55,R. Antonia Martins Luis 632 - Indaiatuba - SP,"Ferramental de estampo, Ferramental para processo de sinterização",-,-
Quality Ferramentaria,2015,42,"R. Waldomiro José Borges, 4.350 - Joinville - SC","Ferramental de estampo, Dispositivos de controle",-,-
Sildre Plásticos e Matrizes,1986,25,"R. Abel Postali, 430 - Caxias do Sul - RS","Molde de injeção plástica, Molde de injeção de alumínio",-,-
Moldes Brasil Ferramentaria,1999,98,"R. Santos Dumont, 3.018 - Herval d’Oeste - SC","Molde de termoformagem, Molde de sopro Pet, Molde de sopro convencional PP e PEAD",-,-
Moltec,1971,70,"R. Olivia Guedes Penteado, 1271 - São Paulo - SP","Molde de injeção plástica, Molde de sopro, Injection Blow, Injection Strech Blow",-,-
Ferramentaria Solução,2003,75,"R. 2, 165 - Betim - MG","Ferramental de estampo, Dispositivos de controle, Protótipos",-,-
R2 Usinagem e Ferramentaria,2017,26,"Av. Armando Salles de Oliveira, 900 - Americana - SP","Molde de termoformagem, Molde de injeção de alumínio, Dispositivos de controle",-,-
Fermold,1996,52,"R. Tupi, 560 - Joinville - SC","Molde de injeção plástica, Molde de injeção de alumínio",-,-
Gestamp,1998,120,"R. José Semes, 17.900 - São José dos Pinhais – PR","Ferramental de estampo, Dispositivos de controle",-,-
Matrizes Sadel,1990,26,"R. Irmã Geni, 392 - Caxias do Sul - RS",Molde de injeção plástica,-,-
Norte Ferramentaria do Brasil,2005,40,"R. Sen. Petrônio Portela, 47 - Joinville - SC",Molde de injeção plástica,-,-
WGO Indústria Metalúrgica,1994,18,"R. Dr. Gabriel de Resende, 376 e 366 - São Paulo - SP","Molde de injeção plástica, Ferramental de estampo, Dispositivos de controle, Postos de Montagem, Automação, Máquinas Dedicadas",-,-
Maffer Componentes para Moldes,2005,10,"R. Giácomo Bonatto, 80 - Caxias do Sul - RS","Molde de injeção plástica, Dispositivos de controle",-,-
Cicma Matrizes,2001,11,"R. Elvira Cruz Netto, 490 - Caxias do Sul - RS",Molde de injeção plástica,-,-
Flej Fabricação de Ferramentas,1998,15,"R. Geovanino Shilla, 31 - Mauá - SP",Molde de injeção plástica,-,-
WF Modelação e Ferramentaria,2018,15,"R. João Covolan Filho, 410 - Santa Bárbara d’Oeste - SP","Molde de injeção de alumínio, Dispositivos de controle, Molde de termoformagem, Modelos para fundição",-,-
JT Ferramentas,2004,16,"R. Tabatinga, 1.317 - Joinville - SC","Molde de injeção plástica, Molde de injeção de alumínio, Dispositivos de controle, Ferramental de estampo",-,-
GHL Ferramentaria de Moldes,2010,14,"Av. Vitória Rossi Martini, 1405 - Indaiatuba - SP",Molde de injeção plástica,-,-
Proefer Ferramentaria e Usinagem,1993,10,"Av. Duque de Caxias, 2.615 - Várzea Paulista - SP","Molde de injeção plástica, Molde de injeção de alumínio, Dispositivos de controle, Moldes para borracha",-,-
Mold Solutions,2012,30,R. Miguel Arcangelo Matielo - Sorocaba - SP,"Molde de injeção plástica, Molde de injeção de alumínio",-,-
RTM Indústria de Moldes,2016,10,"R. Silvio BIvar Schmitt, 708 Caxias do Sul - RS","Molde de injeção plástica, Molde de injeção de alumínio",-,-
Ferramentaria Pickler,2002,10,"R. Vanderlei Raul Richs, 16 - Joinville - SC",Moldes para extrusão de perfis plásticos,-,-
